,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
5,,Terrain,Terrain à bâtir,,agence,0,,0,0,0,,,0,,,943,,0,,,,https://www.zimmo.be/fr/poederlee-2275/a-vendre/terrain/JXB6I/
6,Mol,Maison,Fermette,399000.0,notariale,5,,0,0,0,True,32,0,,,,,0,,2000,,https://www.zimmo.be/fr/mol-2400/a-vendre/maison/JXB6E/
7,Pulle,Maison,,369000.0,notariale,5,192,0,0,0,,,0,,,282,,0,old,2011,155,https://www.zimmo.be/fr/pulle-2243/a-vendre/maison/JXB5G/
8,,Maison,,250000.0,notariale,4,214,0,0,0,,,0,,,80,2,0,old,1850,217,https://www.zimmo.be/fr/antwerpen-2000/a-vendre/maison/JXB47/
9,Geel,Terrain,Zone de projet,749000.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/geel-2440/a-vendre/terrain/JXB3B/
0,Antwerpen,Bien professionnel,Bureaux,359000.0,notariale,0,95,0,0,0,,,0,,,,2,0,old,2017,,https://www.zimmo.be/fr/antwerpen-2000/a-vendre/bien-professionnel/JX290/
1,Deurne,Appartement,,195000.0,notariale,5,78,0,0,0,True,2,0,700,,,2,0,,,191,https://www.zimmo.be/fr/deurne-2100/a-vendre/appartement/JX28K/
2,Merksem,Appartement,,235000.0,notariale,4,120,0,0,0,True,8,0,,,,3,0,old,1997,117,https://www.zimmo.be/fr/merksem-2170/a-vendre/appartement/JX27J/
3,Deurne,Maison,,329900.0,notariale,4,126,0,0,0,,,0,,,121,2,0,old,1973,222,https://www.zimmo.be/fr/deurne-2100/a-vendre/maison/JX27I/
4,,Maison,,,notariale,7,,0,0,0,,,1,,,800,4,0,,,147,https://www.zimmo.be/fr/essen-2910/a-vendre/maison/JX26B/
5,Retie,Terrain,Terrain à bâtir,145000.0,notariale,0,,0,0,0,,,0,,,170,,0,,,,https://www.zimmo.be/fr/retie-2470/a-vendre/terrain/JX26C/
6,Borgerhout,Appartement,,135000.0,notariale,2,62,0,0,0,True,3,0,,,,2,0,,,270,https://www.zimmo.be/fr/borgerhout-2140/a-vendre/appartement/JX262/
7,Merksplas,Maison,,340000.0,agence,6,,0,0,0,,,0,,,836,4,0,old,1982,427,https://www.zimmo.be/fr/merksplas-2330/a-vendre/maison/JX259/
8,Antwerpen,Maison,Usage mixte,1750000.0,notariale,8,435,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/antwerpen-2000/a-vendre/maison/JX251/
9,Antwerpen,Maison,Maison unifamiliale,315000.0,notariale,4,148,0,0,0,,,1,,,113,2,0,new,1925,448,https://www.zimmo.be/fr/antwerpen-2020/a-vendre/maison/JX24U/
0,Berchem,Appartement,,229000,notariale,3,,0,0,0,,,0,,,,,0,,,192,https://www.zimmo.be/fr/berchem-2600/a-vendre/appartement/JXB0Y/
1,Geel,Maison,,397000,notariale,6,193,0,0,0,,,0,,,220,3,0,old,1954,353,https://www.zimmo.be/fr/geel-2440/a-vendre/maison/JXAZH/
2,Geel,Maison,,445000,notariale,6,334,0,0,0,,,0,,,179,4,0,old,1967,294,https://www.zimmo.be/fr/geel-2440/a-vendre/maison/JXAZE/
3,Kasterlee,Appartement,,297000,notariale,4,92,0,0,0,,,0,,,618,3,0,old,2002,198,https://www.zimmo.be/fr/kasterlee-2460/a-vendre/appartement/JXAZA/
4,Geel,Appartement,,185000,notariale,2,61,0,0,0,,,0,,,64,2,0,old,2015,,https://www.zimmo.be/fr/geel-2440/a-vendre/appartement/JXAZI/
5,Eindhout,Maison,,242400,notariale,5,128,0,0,0,,,1,,,213,3,0,old,2018,,https://www.zimmo.be/fr/eindhout-2430/a-vendre/maison/JXAZL/
6,,Maison,,180000,notariale,4,,0,0,0,,,0,,,412,2,0,old,1959,573,https://www.zimmo.be/fr/berchem-2600/a-vendre/maison/JXAXX/
7,Blaasveld,Maison,Maison d’angle,429000,notariale,7,115,0,0,0,,,1,,,,3,0,old,2014,101,https://www.zimmo.be/fr/blaasveld-2830/a-vendre/maison/JXAXR/
8,Duffel,Maison,Maison unifamiliale,286000,notariale,4,,0,0,0,,,0,,,369,3,0,old,1933,431,https://www.zimmo.be/fr/duffel-2570/a-vendre/maison/JXAX6/
9,Duffel,Maison,Maison deux facades,283000,notariale,3,,0,0,0,,,0,,,166,2,0,old,1936,193,https://www.zimmo.be/fr/duffel-2570/a-vendre/maison/JXAX7/
0,Hoboken,Garage,,19000.0,notariale,1,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/hoboken-2660/a-vendre/garage/JKBMC/
1,,Bien professionnel,Bâtiment d’entreprise,,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/bornem-2880/a-vendre/bien-professionnel/JTZ7T/
2,,Appartement,,,notariale,7,282,0,0,1,True,52,1,,,,4,0,old,2021,,https://www.zimmo.be/fr/%27s%20gravenwezel-2970/a-vendre/appartement/JTZ7D/
3,Mol,Garage,,20000.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/mol-2400/a-vendre/garage/JTOMK/
4,Tongerlo,Terrain,Bois,17500.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/tongerlo-2260/a-vendre/terrain/JTZ4Y/
5,Oud-Turnhout,Maison,Résidence secondaire,850000.0,notariale,6,284,0,0,0,,,0,,,000,4,0,new,,250,https://www.zimmo.be/fr/oud-turnhout-2360/a-vendre/maison/JTZ15/
