,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
7,Orp-Jauche,Maison,Villa moderne,269000.0,notariale,6,,0,0,0,,,0,,,633,4,0,old,1973,,https://www.zimmo.be/fr/orp-jauche-1350/a-vendre/maison/JX7WU/
8,Genappe,Maison,Usage mixte,275000.0,notariale,5,,0,0,0,,,1,,,243,2,0,old,1900,149,https://www.zimmo.be/fr/genappe-1470/a-vendre/maison/JX7ER/
9,Piétrain,Maison,Ferme,975000.0,notariale,11,400,0,0,0,,,0,,,234,4,0,,,255,https://www.zimmo.be/fr/pietrain-1370/a-vendre/maison/JX76G/
0,Nivelles,Maison,,178000.0,agence,1,132,0,0,0,,,0,,,,2,0,,,478,https://www.zimmo.be/fr/nivelles-1400/a-vendre/maison/JY46I/
1,Wavre,Appartement,,279000.0,notariale,2,82,0,0,0,True,10,0,,,,2,0,,2022,,https://www.zimmo.be/fr/wavre-1300/a-vendre/appartement/JXUFT/
2,,Projet,,214000.0,notariale,0,,0,0,0,,,0,,,,,0,,2021,,https://www.zimmo.be/fr/opheylissem-1357/a-vendre/projet-immobilier/10042SU/
3,,Projet,,327942.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/tubize-1480/a-vendre/projet-immobilier/10041ZW/
4,,Projet,,314637.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/tubize-1480/a-vendre/projet-immobilier/10041ZV/
5,Waterloo,Maison,Maison exceptionnelle,1950000.0,notariale,9,82,0,0,0,True,100,1,,,,4,0,,1800,671,https://www.zimmo.be/fr/waterloo-1410/a-vendre/maison/JXTQL/
6,Genappe,Bien professionnel,Immeuble de bureaux,1950000.0,notariale,0,82,0,0,0,,,0,,,,4,0,,1800,671,https://www.zimmo.be/fr/genappe-1470/a-vendre/bien-professionnel/JXTQM/
