,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state
9,Willebroek,Maison,Villa,1368000,notariale,9,50,0,0,0,None,None,1,None,None,50,4,0,old
0,Lier,Maison,None,1026512,notariale,16,None,0,1,0,None,None,0,None,None,None,3,0,None
1,Borsbeek,Maison,None,640871,notariale,3,20,0,0,0,None,None,0,None,None,None,2,0,None
2,Antwerpen,Maison,None,239000,notariale,5,114,0,0,0,None,None,0,50,8,58,2,0,None
3,Oppuurs,Maison,None,419000,notariale,6,245,0,0,0,None,None,1,None,None,760,2,0,new
4,None,Maison,Maison deux facades,154000,notariale,3,None,0,0,0,None,None,0,None,None,77,2,0,old
5,Weelde,Appartement,None,232000,notariale,3,85,0,0,0,True,9,0,None,None,None,4,0,old
6,Weelde,Appartement,Attique,233000,notariale,3,75,0,0,0,True,10,0,None,None,None,4,0,old
7,Weelde,Maison,Maison unifamiliale,322000,notariale,5,150,0,0,0,None,None,0,None,None,412,2,0,old
8,None,Maison,None,170000,notariale,5,None,0,0,0,None,None,0,None,None,641,4,0,old
9,Vorselaar,Appartement,None,230000,notariale,2,75,0,0,0,True,8,0,None,None,None,4,0,old
0,Laakdal,Appartement,None,241000,notariale,4,101,0,0,0,True,24,1,None,None,None,3,0,None
1,Laakdal,Appartement,None,246000,notariale,4,101,0,0,0,True,23,1,None,None,None,None,0,None
2,Laakdal,Appartement,None,196000,notariale,2,74,0,0,0,True,40,1,None,None,None,None,0,None
3,Putte,Maison,None,600000,notariale,2,None,0,0,0,None,None,1,None,None,None,2,0,None
4,Lint,Appartement,None,275000,notariale,3,90,0,0,0,True,24,0,None,None,None,None,0,None
5,Antwerpen,Appartement,None,279000,notariale,4,135,0,0,0,None,None,0,None,None,None,None,0,None
6,Hemiksem,Maison,None,229000,notariale,4,96,0,0,0,None,None,1,None,None,None,2,0,None
