,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
9,Diest,Bien professionnel,Bureaux,199900,notariale,0,,0,0,0,True,7,0,,,,2,0,,,,https://www.zimmo.be/fr/diest-3290/a-vendre/bien-professionnel/JY3HD/
0,,Terrain,Terrain à bâtir,,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/begijnendijk-3130/a-vendre/terrain/JV9X5/
1,Zoutleeuw,Terrain,Terrain à bâtir,96000.0,notariale,1,,0,0,0,,,1,84,222,306,3,0,,,,https://www.zimmo.be/fr/zoutleeuw-3440/a-vendre/terrain/JV9V2/
2,Dormaal,Maison,,250000.0,notariale,4,176,0,0,0,,,0,,,83,3,0,,,649,https://www.zimmo.be/fr/dormaal-3440/a-vendre/maison/JV9C8/
3,Schaffen,Terrain,Terrain à bâtir,130000.0,notariale,0,,0,0,0,,,1,180,-152,028,4,0,,,,https://www.zimmo.be/fr/schaffen-3290/a-vendre/terrain/IY98E/
4,Diest,Maison,,350000.0,agence,6,,0,0,0,,,0,,,490,3,0,old,1972,366,https://www.zimmo.be/fr/diest-3290/a-vendre/maison/JV942/
5,Tienen,Maison,Villa,415000.0,notariale,6,283,0,0,0,,,1,210,-158,052,4,0,old,1979,253,https://www.zimmo.be/fr/tienen-3300/a-vendre/maison/JV8YV/
6,,Bien professionnel,Bâtiment commercial,,notariale,0,000,0,0,0,,,0,,,,4,0,,,,https://www.zimmo.be/fr/boutersem-3370/a-vendre/bien-professionnel/JV8WE/
7,Begijnendijk,Terrain,Terrain à bâtir,143000.0,notariale,0,,0,0,0,,,0,,,555,,0,,,,https://www.zimmo.be/fr/begijnendijk-3130/a-vendre/terrain/JV8NT/
8,Overijse,Maison,,749000.0,notariale,9,270,0,0,1,True,40,1,,,230,4,0,new,1973,197,https://www.zimmo.be/fr/overijse-3090/a-vendre/maison/JV8BH/
9,Sterrebeek,Appartement,,325000.0,notariale,4,92,0,0,0,True,30,1,,,,2,0,old,2005,138,https://www.zimmo.be/fr/sterrebeek-1933/a-vendre/appartement/JV7KU/
